team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ARS,-2,-2,-5,1,1,2,0,0,2,2,1,-4,2,-1,-1,3,2,3,5,-1,0,1,1,1,1,2,NA,NA,NA
AVL,-1,2,0,-3,3,1,-1,-1,-2,-3,-1,2,1,-1,1,-1,2,-2,-1,0,1,0,-1,-1,2,4,3,-1,NA
BRE,2,0,0,-1,2,0,1,-1,-1,-2,-1,0,1,-2,0,1,-2,-1,1,-3,-3,-2,-1,-2,0,-1,-2,2,2
BRI,1,2,-2,1,1,0,0,0,-3,0,0,-2,0,0,0,-1,2,0,1,0,0,0,2,-2,-3,-2,-1,-2,NA
BUR,-1,-2,0,-2,-1,0,0,-2,0,2,0,0,0,-1,0,-2,-2,0,0,0,-1,3,1,0,-2,-4,-2,NA,NA
CHE,3,2,0,3,3,-1,2,1,7,3,0,3,0,1,-1,1,0,0,2,0,0,-1,0,2,1,4,2,1,NA
CRY,-3,0,0,3,-3,0,0,0,0,2,2,0,-1,-1,-1,2,0,-3,3,-1,0,-2,0,0,-1,3,0,2,NA
EVE,2,0,2,2,-3,2,0,-1,-3,-1,0,-3,-1,-3,1,-2,0,-1,-1,-1,-2,3,-2,-1,-5,-1,NA,NA,NA
LED,-4,0,0,-3,0,-1,1,-1,0,1,0,-1,0,1,0,-1,-7,-3,2,1,-1,0,-3,-2,-6,-4,-1,-3,1
LEI,1,-3,1,-1,-1,0,0,2,1,-2,0,-3,2,0,-1,4,-3,1,-1,0,-2,0,-1,2,1,-2,NA,NA,NA
LIV,3,2,0,3,3,0,0,5,5,0,-1,4,4,3,1,1,2,0,-1,0,3,2,2,1,2,6,1,2,NA
MCI,-1,5,5,1,0,1,0,2,3,-2,2,3,1,1,2,1,7,4,3,1,1,1,0,2,4,-1,1,3,NA
MUN,4,0,1,3,1,-1,0,-2,-5,3,-2,-3,0,1,1,1,0,2,-1,0,2,1,0,0,2,2,0,-3,1
NEW,-2,-2,0,-3,0,0,-1,-1,0,-3,0,0,-2,0,1,-4,-2,-4,0,0,1,2,1,0,2,1,1,-1,NA
NOR,-3,-5,-1,-1,-2,-2,0,0,-7,-1,1,1,0,0,-3,-1,-2,-5,-3,-2,1,3,0,-4,-2,-2,-2,-2,-1
SOU,-2,0,0,0,0,-1,-2,1,0,1,1,-1,-4,0,0,-3,0,1,0,3,-2,0,1,0,2,2,-4,-1,-1
TOT,1,1,1,-3,-3,-2,1,1,-1,-3,0,1,2,3,0,3,0,1,1,-2,-1,-2,1,-1,4,5,-1,NA,NA
WAT,1,-2,-1,-2,2,0,-1,-5,3,-1,-1,3,-2,-1,-2,-1,-3,-1,0,-3,0,-1,-2,1,-3,0,-1,-4,1
WHU,2,3,0,0,-1,1,-1,1,1,3,1,-1,-1,0,1,0,-2,-1,3,1,2,-1,-1,1,0,0,1,-1,1
WOL,-1,-1,-1,2,-2,1,1,1,0,1,-2,1,0,0,-1,-1,1,0,1,2,1,-1,2,1,-1,-1,-2,4,1
